id,package,date,severity,cvss_score,patched_versions,categories,type,url,description
RUSTSEC-2020-0121,abox,2020-11-10,high,8.1,>= 0.4.1,thread-safety,Vulnerability,https://github.com/SonicFrog/abox/issues/1,AtomicBox?implements Send/Sync for any?T: Sized
RUSTSEC-2020-0122,beef,2020-10-28,high,8.1,>= 0.5.0,thread-safety,Vulnerability,https://github.com/maciejhirsz/beef/issues/37,beef::Cow lacks a Sync bound on its Send trait allowing for data races
RUSTSEC-2020-0124,async-coap,2020-12-08,high,8.1,,thread-safety,Vulnerability,https://github.com/google/rust-async-coap/issues/33,ArcGuard's Send and Sync should have bounds on RC
RUSTSEC-2020-0128,cache,2020-11-24,high,8.1,,thread-safety,Vulnerability,https://github.com/krl/cache/issues/1,Cache: Send/Sync impls needs trait bounds on?K
RUSTSEC-2020-0130,bunch,2020-11-12,high,8.1,,thread-safety,Vulnerability,https://github.com/krl/bunch/issues/1,Bunch unconditionally implements Send/Sync
RUSTSEC-2020-0149,appendix,2020-11-15,medium,5.9,,thread-safety,Vulnerability,https://github.com/krl/appendix/issues/6,Data race and memory safety issue in Index
RUSTSEC-2020-0150,disrustor,2020-12-17,medium,5.9,>=0.3,thread-safety,Vulnerability,https://github.com/sklose/disrustor/issues/1 ,RingBuffer can create multiple mutable references and cause data races
RUSTSEC-2021-0036,internment,2021-03-03,critical,9.8,>=0.4.2,thread-safety,Vulnerability,https://github.com/droundy/internment/issues/20 ,Intern: Data race allowed on T
RUSTSEC-2020-0143,multiqueue ,2020-12-25,high,8.1,,thread-safety,Vulnerability,https://github.com/schets/multiqueue/issues/31 ,"Queues allow non-Send types to be sent to other threads, allowing data races"
RUSTSEC-2020-0127,high,2020-12-18,high,8.1,>=0.1.43,thread-safety,Vulnerability,https://github.com/purpleposeidon/v9/issues/1 ,SyncRef's clone() and debug() allow data races
RUSTSEC-2023-0058,inventory,2023-09-10,none,,>=0.2.0,thread-safety,Vulnerability,https://github.com/dtolnay/inventory/pull/42 ,Exposes reference to non-Sync data to an arbitrary thread
RUSTSEC-2023-0022,openssl,2023-03-24,none,,>=0.10.48,thread-safety,Vulnerability,https://github.com/sfackler/rust-openssl/pull/1854 ,openssl X509NameBuilder::build returned object is not thread safe
RUSTSEC-2022-0029,crossbeam,2022-06-07,none,,>=0.3.0,thread-safety,Vulnerability,https://github.com/crossbeam-rs/crossbeam/pull/98,MsQueue push/pop use the wrong orderings
RUSTSEC-2021-0113,metrics-util ,2021-04-07,none,,>=0.7.0,thread-safety,Vulnerability,https://github.com/metrics-rs/metrics/issues/190,AtomicBucket unconditionally implements Send/Sync
RUSTSEC-2021-0124,tokio,2021-11-16,none,,>=1.13.1,thread-safety,Vulnerability,https://github.com/tokio-rs/tokio/issues/4225,Data race when sending and receiving after closing a oneshot channel
